Lat,Lon,inches
26.54,-82.3473,0.01
26.5835,-82.3673,0.01
26.5707,-82.333,0.01
26.5578,-82.2987,0
26.6269,-82.3873,0.05
26.6141,-82.353,0.02
26.6013,-82.3187,0.01
26.5885,-82.2844,0.01
26.5757,-82.2501,0
26.6704,-82.4073,0.1
26.6576,-82.373,0.03
26.6448,-82.3386,0.01
26.632,-82.3043,0.02
26.6191,-82.27,0.01
26.6063,-82.2358,0
26.5934,-82.2015,0
26.7139,-82.4274,0.04
26.7011,-82.393,0.05
26.6883,-82.3587,0.05
26.6755,-82.3243,0.03
26.6626,-82.29,0.02
26.6498,-82.2557,0.01
26.6369,-82.2214,0.01
26.6241,-82.1871,0
26.0549,-80.7295,0.01
26.0413,-80.696,0
26.0277,-80.6625,0
26.7446,-82.4131,0.1
26.7318,-82.3787,0.06
26.719,-82.3443,0.02
26.7062,-82.31,0.01
26.6933,-82.2756,0.01
26.6805,-82.2413,0.02
26.6676,-82.207,0.02
26.6547,-82.1727,0.02
26.6418,-82.1384,0.01
26.6289,-82.1041,0.01
26.0714,-80.6809,0
26.0578,-80.6473,0
26.0442,-80.6139,0.01
26.0306,-80.5804,0.01
26.0169,-80.5469,0
26.7881,-82.4332,0.05
26.7753,-82.3988,0.06
26.7625,-82.3644,0.08
26.7497,-82.33,0.04
26.7369,-82.2956,0.03
26.724,-82.2612,0.02
26.7111,-82.2269,0.01
26.6983,-82.1925,0.01
26.6854,-82.1582,0.01
26.6724,-82.1239,0.01
26.6595,-82.0896,0.01
26.6465,-82.0554,0
26.6336,-82.0211,0
26.0743,-80.5987,0
26.0606,-80.5652,0
26.047,-80.5317,0
26.0333,-80.4983,0
26.0196,-80.4648,0
26.0058,-80.4314,0
26.8444,-82.4878,0.02
26.8316,-82.4534,0.1
26.8189,-82.4189,0.13
26.8061,-82.3844,0.12
26.7932,-82.35,0.1
26.7804,-82.3156,0.09
26.7676,-82.2812,0.07
26.7547,-82.2468,0.06
26.7418,-82.2124,0.05
26.7289,-82.1781,0.04
26.716,-82.1438,0.06
26.7031,-82.1094,0.01
26.6901,-82.0752,0
26.077,-80.5165,0
26.0359,-80.4161,0
26.8879,-82.5081,0
26.8752,-82.4735,0
26.8624,-82.439,0.01
26.8496,-82.4046,0.03
26.8368,-82.3701,0.06
26.824,-82.3356,0.06
26.8111,-82.3012,0.07
26.7983,-82.2668,0.07
26.7854,-82.2324,0.09
26.7725,-82.198,0.08
26.7596,-82.1636,0.08
26.7467,-82.1293,0.09
26.7337,-82.095,0.12
26.7208,-82.0606,0.13
26.7078,-82.0263,0.03
26.6948,-81.9921,0
26.6818,-81.9578,0.01
26.6688,-81.9236,0
26.6296,-81.8209,0
26.6165,-81.7868,0
26.6034,-81.7526,0
26.5903,-81.7185,0
26.5771,-81.6844,0
26.0384,-80.334,0
26.0246,-80.3006,0
26.0108,-80.2672,0
25.9969,-80.2338,0
25.9693,-80.1672,0
26.8932,-82.4247,0
26.8804,-82.3902,0.01
26.8676,-82.3557,0.02
26.8547,-82.3212,0.06
26.8419,-82.2868,0.08
26.829,-82.2524,0.07
26.8161,-82.2179,0.06
26.8032,-82.1835,0.05
26.7903,-82.1492,0.04
26.7773,-82.1148,0.04
26.7644,-82.0804,0.05
26.7514,-82.0461,0.05
26.7384,-82.0118,0.04
26.7254,-81.9775,0.04
26.7124,-81.9432,0.01
26.6994,-81.909,0.01
26.6863,-81.8747,0
26.6732,-81.8405,0
26.6601,-81.8063,0
26.647,-81.7721,0
26.6339,-81.7379,0
26.6208,-81.7038,0.01
26.6076,-81.6696,0
26.5945,-81.6355,0
26.0959,-80.3855,0
26.0684,-80.3186,0
26.0131,-80.1851,0
25.9992,-80.1517,0
25.9853,-80.1184,0
25.9714,-80.0851,0
26.9111,-82.3758,0
26.8983,-82.3413,0.01
26.8855,-82.3068,0.01
26.8726,-82.2724,0.02
26.8597,-82.2379,0.03
26.8468,-82.2035,0.04
26.8339,-82.1691,0.04
26.821,-82.1347,0.04
26.808,-82.1003,0.04
26.795,-82.0659,0.06
26.7821,-82.0316,0.06
26.7691,-81.9972,0.05
26.756,-81.9629,0.02
26.743,-81.9286,0.03
26.73,-81.8944,0.01
26.7169,-81.8601,0.01
26.7038,-81.8259,0.01
26.6907,-81.7916,0
26.6776,-81.7574,0.01
26.6645,-81.7232,0.01
26.6513,-81.6891,0.01
26.6381,-81.6549,0.01
26.625,-81.6208,0
26.6118,-81.5867,0
26.2221,-80.6049,0
26.1947,-80.5377,0
26.181,-80.5042,0
26.1535,-80.4371,0
26.126,-80.3702,0
26.1122,-80.3367,0
26.0984,-80.3033,0.01
26.0846,-80.2698,0
26.0708,-80.2364,0
26.0569,-80.203,0
26.0431,-80.1697,0
26.9548,-82.396,0
26.9419,-82.3614,0.01
26.9291,-82.3269,0.03
26.9162,-82.2924,0.03
26.9033,-82.2579,0.04
26.8904,-82.2235,0.03
26.8775,-82.189,0.02
26.8646,-82.1546,0.01
26.8517,-82.1202,0.02
26.8387,-82.0858,0.01
26.8257,-82.0514,0.01
26.8127,-82.017,0.02
26.7997,-81.9827,0.04
26.7867,-81.9483,0.05
26.7736,-81.914,0.03
26.7606,-81.8797,0.02
26.7475,-81.8455,0.02
26.7344,-81.8112,0.02
26.7213,-81.777,0.01
26.7082,-81.7427,0.01
26.695,-81.7085,0.01
26.6819,-81.6743,0.01
26.6687,-81.6402,0.01
26.6555,-81.606,0.01
26.6423,-81.5719,0
26.2522,-80.5896,0
26.2248,-80.5225,0
26.2111,-80.4889,0
26.1973,-80.4553,0
26.1836,-80.4218,0
26.1698,-80.3883,0
26.156,-80.3548,0
26.1422,-80.3213,0
26.1284,-80.2879,0.01
26.1146,-80.2544,0
26.1008,-80.221,0
26.0869,-80.1876,0.01
26.073,-80.1542,0
26.0591,-80.1208,0
26.9984,-82.4161,0
26.9856,-82.3816,0.02
26.9727,-82.347,0.02
26.9599,-82.3125,0.02
26.947,-82.278,0.01
26.9341,-82.2435,0.01
26.9212,-82.209,0.02
26.9083,-82.1745,0.03
26.8953,-82.1401,0.03
26.8824,-82.1056,0.03
26.8694,-82.0712,0.02
26.8564,-82.0368,0.01
26.8434,-82.0024,0.01
26.8304,-81.9681,0.01
26.8173,-81.9337,0.01
26.8043,-81.8994,0.01
26.7912,-81.8651,0.01
26.7781,-81.8308,0.01
26.765,-81.7965,0.02
26.7519,-81.7623,0.02
26.7387,-81.728,0.01
26.7256,-81.6938,0.05
26.7124,-81.6596,0.01
26.6992,-81.6254,0.01
26.686,-81.5912,0.01
26.6728,-81.5571,0
26.2823,-80.5744,0
26.2686,-80.5408,0
26.2549,-80.5072,0.01
26.2412,-80.4736,0
26.2274,-80.44,0
26.2137,-80.4065,0.01
26.1999,-80.3729,0
26.1861,-80.3394,0.01
26.1723,-80.3059,0.01
26.1585,-80.2725,0.01
26.1446,-80.239,0.01
26.1308,-80.2056,0.01
26.1169,-80.1721,0.01
26.103,-80.1387,0
26.0891,-80.1054,0
26.0752,-80.072,0
27.0292,-82.4018,0
27.0164,-82.3672,0.01
27.0035,-82.3326,0.01
26.9906,-82.298,0.01
26.9777,-82.2635,0.01
26.9648,-82.229,0.01
26.9519,-82.1945,0.01
26.939,-82.16,0.01
26.926,-82.1255,0.02
26.9131,-82.0911,0.03
26.9001,-82.0566,0.03
26.8871,-82.0222,0.03
26.8741,-81.9878,0.03
26.861,-81.9535,0.03
26.848,-81.9191,0.03
26.8349,-81.8847,0.01
26.8218,-81.8504,0.01
26.8087,-81.8161,0.01
26.7956,-81.7818,0
26.7824,-81.7475,0.01
26.7693,-81.7133,0.01
26.7561,-81.679,0.02
26.7429,-81.6448,0.01
26.7297,-81.6106,0.01
26.7165,-81.5764,0.01
26.7033,-81.5423,0
26.2851,-80.4919,0
26.2713,-80.4583,0.01
26.2575,-80.4247,0
26.23,-80.3576,0
26.2162,-80.324,0.01
26.2024,-80.2905,0.01
26.1885,-80.257,0.02
26.1747,-80.2236,0.01
26.1608,-80.1901,0.01
26.1469,-80.1567,0.01
26.133,-80.1233,0
26.1191,-80.0899,0
26.1052,-80.0565,0
27.06,-82.3873,0
27.0472,-82.3527,0.01
27.0343,-82.3182,0.01
27.0214,-82.2836,0.02
27.0085,-82.249,0.02
26.9956,-82.2145,0.01
26.9827,-82.18,0.01
26.9697,-82.1455,0.01
26.9568,-82.111,0.01
26.9438,-82.0765,0.02
26.9308,-82.0421,0.03
26.9178,-82.0076,0.03
26.9047,-81.9732,0.03
26.8917,-81.9388,0.03
26.8786,-81.9044,0.03
26.8655,-81.8701,0.03
26.8524,-81.8357,0.03
26.8393,-81.8014,0.04
26.8262,-81.7671,0.03
26.813,-81.7328,0.02
26.7999,-81.6985,0.02
26.7867,-81.6643,0.01
26.7735,-81.63,0.03
26.7603,-81.5958,0.02
26.7471,-81.5616,0
26.7338,-81.5274,0
26.2739,-80.3757,0
26.2601,-80.3422,0.01
26.2462,-80.3086,0.01
26.2324,-80.2751,0.01
26.2186,-80.2416,0.01
26.2047,-80.2081,0.02
26.1908,-80.1746,0.02
26.1769,-80.1412,0.02
26.163,-80.1078,0.01
26.1491,-80.0743,0
26.1351,-80.041,0
27.0908,-82.3729,0
27.078,-82.3383,0
27.0651,-82.3037,0.01
27.0522,-82.2691,0.02
27.0393,-82.2345,0.04
27.0264,-82.2,0.02
27.0134,-82.1654,0.01
27.0005,-82.1309,0.01
26.9875,-82.0964,0.01
26.9745,-82.0619,0.01
26.9615,-82.0275,0.01
26.9485,-81.993,0.03
26.9354,-81.9586,0.03
26.9224,-81.9242,0.04
26.9093,-81.8898,0.03
26.8962,-81.8554,0.03
26.8831,-81.821,0.04
26.8699,-81.7867,0.05
26.8568,-81.7524,0.04
26.8436,-81.7181,0.04
26.8305,-81.6838,0.02
26.8173,-81.6495,0.01
26.8041,-81.6152,0.01
26.7908,-81.581,0.01
26.7776,-81.5468,0.01
26.7643,-81.5126,0.01
26.2902,-80.3268,0
26.2763,-80.2932,0
26.2625,-80.2597,0.01
26.2486,-80.2261,0.02
26.2347,-80.1926,0.01
26.2208,-80.1592,0.01
26.2069,-80.1257,0.02
26.193,-80.0922,0.01
26.1791,-80.0588,0.01
26.1651,-80.0254,0
27.1217,-82.3585,0
27.1088,-82.3238,0
27.0959,-82.2892,0.01
27.083,-82.2546,0.02
27.0701,-82.22,0.04
27.0572,-82.1854,0.04
27.0442,-82.1509,0.03
27.0312,-82.1164,0.02
27.0182,-82.0818,0.02
27.0052,-82.0473,0.01
26.9922,-82.0129,0.01
26.9792,-81.9784,0.01
26.9661,-81.9439,0.01
26.953,-81.9095,0.01
26.9399,-81.8751,0.02
26.9268,-81.8407,0.04
26.9137,-81.8063,0.03
26.9006,-81.772,0.04
26.8874,-81.7376,0.03
26.8742,-81.7033,0.02
26.8611,-81.669,0.02
